Name,Stage,Location
HANSEI AI TECHNOLOGIES PRIVATE LIMITED,Early Traction,"Jaipur,, Rajasthan"
MITRISH CONSUMER PRODUCTS PRIVATE LIMITED,Ideation,"Central Delhi,, Delhi"
SHIMPU FARMERS PRIVATE LIMITED,Validation,"Pelling,, Sikkim"
BAJRANG RICE PRODUCTS,Early Traction,"Dindori,, Madhya Pradesh"
JKAAYUSH PRIVATE LIMITED,Validation,"Sarangarh Bilaigarh,, Chhattisgarh"
SAATHIUNNAT FARMERS PRODUCER COMPANY LIMITED,Ideation,"Sukma,, Chhattisgarh"
DEBONGO GLOBAL LLP,Validation,"Kozhikode,, Kerala"
MISHMI HILLS ORGANIC PRODUCER COMPANY LIMITED,Early Traction,"Dibang Valley,, Arunachal Pradesh"
HOUSE OF MACNOK PRIVATE LIMITED,Early Traction,"Upper Siang,, Arunachal Pradesh"
IPSA ELECTRICALS (OPC) PRIVATE LIMITED,Ideation,"Darjeeling,, West Bengal"
LAIRAM ORGANIC FARMER PRODUCER COMPANY LIMITED,Early Traction,"Lawngtlai,, Mizoram"
TRIPEASE FINANCIAL SERVICES PRIVATE LIMITED,Validation,"Dhar,, Madhya Pradesh"
DATATHREADS TECHNOLOGIES PRIVATE LIMITED,Early Traction,"Mandsaur,, Madhya Pradesh"
APS EDGE PRIVATE LIMITED,Early Traction,"Bengaluru,, Karnataka"
AMANO TEXTILE (OPC) PRIVATE LIMITED,Ideation,"Lucknow,, Uttar Pradesh"
MEDBLOCKS TECHNOLOGIES PRIVATE LIMITED,Early Traction,"Bengaluru,, Karnataka"
ADSREMEDY MEDIA LLP,Early Traction,"Mumbai,, Maharashtra"
MAHESH EDUTECH SERVICES (OPC) PRIVATE LIMITED,Early Traction,"Kadapa,, Andhra Pradesh"
POOJARAENERGY PRIVATE LIMITED,Validation,"Coimbatore,, Tamil Nadu"
TOKEN AI LABS PRIVATE LIMITED,Early Traction,"Mumbai,, Maharashtra"
INVRILY TECHNOLOGIES PRIVATE LIMITED,Early Traction,"Jaipur,, Rajasthan"
GOLDCAM SOLUTION PRIVATE LIMITED,Early Traction,"Ahmedabad,, Gujarat"
