Name,Stage,Location
DIGIHUMANS TECHNOLOGIES PRIVATE LIMITED,Validation,"Hyderabad,, Telangana"
COMASARA TECHNOLOGIES PRIVATE LIMITED,Ideation,"Bengaluru,, Karnataka"
CIGNA COMMUNICATION LLP,Early Traction,"Ernakulam,, Kerala"
ITNOVA TECHNOLOGIES PRIVATE LIMITED,Validation,"Gurugram,, Haryana"
NUMENTICA UI PRIVATE LIMITED,Validation,"Chennai,, Tamil Nadu"
VAMSHARAJ TECHNOLOGIES PRIVATE LIMITED,Ideation,"Hyderabad,, Telangana"
WINGS AND PROPS PRIVATE LIMITED,Early Traction,"Medchal Malkajgiri,, Telangana"
HAWLER INDUSTRIAL SOLUTIONS PRIVATE LIMITED,Early Traction,"Coimbatore,, Tamil Nadu"
SIRAT2SUSTAINABILITY PRIVATE LIMITED,Scaling,"Pune,, Maharashtra"
DIGIHUMANS TECHNOLOGIES PRIVATE LIMITED,Validation,"Hyderabad,, Telangana"
COMASARA TECHNOLOGIES PRIVATE LIMITED,Ideation,"Bengaluru,, Karnataka"
CIGNA COMMUNICATION LLP,Early Traction,"Ernakulam,, Kerala"
ITNOVA TECHNOLOGIES PRIVATE LIMITED,Validation,"Gurugram,, Haryana"
NUMENTICA UI PRIVATE LIMITED,Validation,"Chennai,, Tamil Nadu"
VAMSHARAJ TECHNOLOGIES PRIVATE LIMITED,Ideation,"Hyderabad,, Telangana"
WINGS AND PROPS PRIVATE LIMITED,Early Traction,"Medchal Malkajgiri,, Telangana"
HAWLER INDUSTRIAL SOLUTIONS PRIVATE LIMITED,Early Traction,"Coimbatore,, Tamil Nadu"
SIRAT2SUSTAINABILITY PRIVATE LIMITED,Scaling,"Pune,, Maharashtra"
VB-UNIFIED ENTREPRISE (OPC) PRIVATE LIMITED,Ideation,"Anand,, Gujarat"
Josei,Early Traction,"Delhi,, Delhi"
FACALTO FACILITIES & PROJECTS MANAGEMENT LLP,Ideation,"Kozhikode,, Kerala"
GURKED TECHNOLOGIES PRIVATE LIMITED,Ideation,"Jammu,, Jammu and Kashmir"
YVM GLOBAL LLP,Scaling,"Mumbai,, Maharashtra"
CONNEXPANSE PRIVATE LIMITED,Early Traction,"East Delhi,, Delhi"
MARIA D PRIVATE LIMITED,Ideation,"Ernakulam,, Kerala"
MADE-INN HEALTHCARE PRIVATE LIMITED,Scaling,"Kakinada,, Andhra Pradesh"
GOFINDRA PRODUCT TECH LLP,Ideation,"Srinagar,, Jammu and Kashmir"
